userId,train,gt,rec_AMR_visual_max_k5
25346,"[5254, 6548, 6934, 6]","[589, 1214]","[3178.0, 1704.0, 1221.0, 1645.0, 1997.0]"
25349,"[1089, 33794, 2023, 59369, 2411, 2571, 589, 7438, 139385, 204698, 58559]","[91630, 3147, 76175, 64957, 163645, 64030, 3916]","[50.0, 1704.0, 31364.0, 608.0, 6.0]"
25355,"[4993, 4995, 904, 1193, 5418, 1227, 2028, 50]",[1704],"[608.0, 2571.0, 7438.0, 111.0, 296.0]"
25357,"[608, 1377, 1221, 1704, 1961, 904, 1997, 150, 1206, 858]",[1370],"[778.0, 1573.0, 1213.0, 3362.0, 1252.0]"
25358,"[4993, 33794, 2571, 1036, 2959, 6548, 4776, 1193, 50, 1206, 58559, 5952, 1089, 1997, 8665, 6874, 1252, 5989, 2023, 53996]","[7153, 527, 586, 1961, 1201]","[1704.0, 111.0, 6365.0, 5418.0, 318.0]"
25364,"[912, 2329, 1252, 553]","[1201, 150]","[2410.0, 608.0, 1213.0, 65514.0, 1227.0]"
25365,"[4993, 4226, 356, 5956, 778, 7153, 150]","[586, 858]","[1089.0, 296.0, 4995.0, 318.0, 1214.0]"
25376,"[480, 4993, 356, 2023, 1193, 589, 1645, 527, 1266, 4084, 858, 2011]",[4995],"[1704.0, 1089.0, 165.0, 1370.0, 111.0]"
25381,"[480, 1089, 122882, 33794, 5956, 34150, 130634, 122890, 122892, 170827, 589, 7438, 112370, 858, 79132]","[6548, 8665, 111759, 318, 76175, 44665]","[122904.0, 1704.0, 2011.0, 122900.0, 5995.0]"
25388,"[608, 5952, 4226, 4995, 293, 4262, 296, 2571, 2959, 111, 6863, 50, 3510, 2329, 1690, 2011, 858]",[44665],"[1200.0, 6.0, 5956.0, 318.0, 1036.0]"
25398,"[2571, 1252, 1214, 1206]","[296, 111]","[608.0, 912.0, 1193.0, 4993.0, 2011.0]"
25414,"[5952, 1089, 356, 110501, 176937, 778, 2959, 109487, 7153, 50, 96691, 159061, 1370, 318]","[2329, 68157, 6754, 8529, 5989]","[78772.0, 102088.0, 64030.0, 3198.0, 293.0]"
25417,"[5952, 4993, 356, 553, 50, 1266, 4085, 8665, 858, 1339, 6365, 1214]","[7153, 1089, 1200]","[1704.0, 608.0, 165.0, 4776.0, 1584.0]"
25419,"[5952, 4993, 85414, 296, 2959, 8529, 1203, 1206, 97752, 2329, 2011, 68157, 58559]",[1221],"[4995.0, 6874.0, 79132.0, 50.0, 1721.0]"
25421,"[1704, 608, 1036]",[1213],"[111.0, 1193.0, 912.0, 2571.0, 171763.0]"
25424,"[5952, 4993, 1089, 74851, 5956, 91974, 119145, 79695, 4085, 8985, 1370, 6365, 4223]","[64983, 95875, 65682, 356]","[1704.0, 58559.0, 4776.0, 165.0, 5219.0]"
25431,"[4226, 94985, 527, 2329, 79132, 1704, 122920, 109487, 50, 1203, 1721, 68157, 1227, 589, 103249, 64983, 356, 2409, 53996, 7153]","[112552, 4776, 904, 122892, 1206, 1200]","[64957.0, 1036.0, 2571.0, 122882.0, 33794.0]"
25439,"[5956, 356, 165, 420, 4776, 5418, 1645, 858, 150, 1213, 8985, 1370, 7387, 6365, 318]",[5989],"[553.0, 1573.0, 231.0, 586.0, 6.0]"
25441,"[480, 778, 1339, 527]",[553],"[1089.0, 6.0, 293.0, 296.0, 1584.0]"
25447,[356],[1370],"[231.0, 480.0, 1721.0, 5418.0, 1089.0]"
25469,"[4993, 48780, 7438, 5418, 1584, 4022, 64957, 68157, 58559, 1089, 586, 1997, 8665, 858, 2011, 6754, 34150, 231, 1266, 2167]","[904, 318, 1214, 4262]","[1704.0, 1573.0, 5952.0, 318.0, 608.0]"
25476,"[4993, 4226, 101895, 1704, 7153, 3578, 1213]","[1036, 79132, 115210, 858, 4022]","[778.0, 1721.0, 8638.0, 1193.0, 6754.0]"
25478,[],[1690],[]
25492,"[608, 4226, 6, 1961, 586, 1036, 2028, 912, 3578, 1213]","[1252, 589, 4022]","[858.0, 2571.0, 50.0, 1193.0, 4084.0]"
25494,"[4262, 5418, 99114, 589, 6550, 6934]","[3578, 1036, 1252, 1193, 296, 111, 1206]","[7438.0, 480.0, 30707.0, 4993.0, 33794.0]"
25496,"[116797, 1214]","[88140, 110102, 4022, 5952]","[64957.0, 7438.0, 296.0, 85414.0, 139644.0]"
25510,"[1954, 5574, 4776, 1200, 4085, 2167, 8665, 1339]",[3198],"[1370.0, 1377.0, 1036.0, 231.0, 1573.0]"
25512,"[4993, 1089, 420, 296, 1961, 5418, 2411, 48780, 586, 90522, 1201, 150, 1690, 1339, 6365]","[3510, 6934, 1584]","[608.0, 1573.0, 2410.0, 7387.0, 1377.0]"
25513,"[157699, 113573, 165, 4776, 119145, 99114, 177593, 104913, 56145, 7153, 78772, 158966, 139385, 2011, 68157, 58559]","[139642, 356, 2959, 33794, 169984, 109848]","[34150.0, 122914.0, 48780.0, 88140.0, 102686.0]"
25517,"[1221, 586, 1266, 4022, 858]","[2011, 527, 356]","[231.0, 1573.0, 420.0, 1721.0, 1193.0]"
25521,"[4995, 7438]","[296, 480]","[58559.0, 4226.0, 1193.0, 4993.0, 318.0]"
25532,"[586, 2028, 1997, 589, 111, 7153, 150, 6874]","[5952, 33794, 2571, 858]","[6365.0, 608.0, 858.0, 318.0, 293.0]"
25540,"[480, 1377, 1206]","[1573, 6, 2028]","[1954.0, 266.0, 1573.0, 165.0, 1961.0]"
25543,"[480, 87520, 122882, 60040, 128360, 778, 112552, 122892, 527, 109487, 7153, 111759, 171763, 134130, 6550, 84601, 90522, 6365]","[185029, 7438, 110501, 4993]","[2011.0, 5989.0, 69526.0, 3147.0, 2959.0]"
25553,"[1089, 4993, 122882, 128360, 119145, 778, 99114, 6863, 1584, 1201, 171763, 1203, 2011, 68157]",[33794],"[1266.0, 168248.0, 142488.0, 111.0, 114935.0]"
25554,"[4995, 115210, 1036, 912, 65682, 6550, 79132, 1704, 553, 99114, 4776, 112552, 48304, 96432, 1203, 4022, 68157, 163645, 1214, 1089, 5956, 104913, 64983, 97752, 1370, 92507, 6365, 139385, 2028, 139642, 7153, 171763, 44665, 3578, 3198, 111743]","[160438, 150, 293, 111, 115149, 53996, 158966, 69526, 1690]","[904.0, 480.0, 69526.0, 2023.0, 58559.0]"
25558,"[1089, 1377, 4993, 356, 1221, 4262, 2167, 3578]",[5219],"[778.0, 1200.0, 293.0, 231.0, 1704.0]"
25562,"[420, 165, 1193, 586, 5995, 2028, 1036, 56145, 50, 6874]","[8665, 150, 356, 1573]","[1704.0, 1573.0, 608.0, 111.0, 318.0]"
25568,"[608, 1377, 231, 586, 858, 1721, 6874, 1213, 318]","[1214, 420]","[296.0, 1573.0, 356.0, 1252.0, 1997.0]"
25569,[50],"[1377, 3578]","[2571.0, 3198.0, 111.0, 858.0, 1221.0]"
25570,"[6534, 115210, 105355, 76175, 6548, 150, 142488, 8985, 4262, 36519, 1704, 4776, 1200, 1201, 4022, 168248, 1213, 1089, 130634, 3916, 6863, 8529, 160980, 53972, 356, 231, 59369, 2411, 2028, 134130, 171763, 112370, 139644]","[79132, 139385, 4084, 122890]","[1193.0, 858.0, 6874.0, 1573.0, 1954.0]"
25571,"[480, 5952, 293, 2409, 2571, 2959, 7153]","[1954, 356, 1377, 1201, 1690]","[4993.0, 6874.0, 1721.0, 2011.0, 6365.0]"
25575,"[608, 4993, 4995, 1252, 6, 4262, 1704, 296, 5418, 3147, 912, 150, 3578, 1213]","[4085, 318, 2028]","[1089.0, 318.0, 2571.0, 778.0, 2959.0]"
25580,"[1089, 231, 1193, 1645, 50, 1721, 2011]",[7438],"[111.0, 1704.0, 608.0, 165.0, 4993.0]"
25586,"[5989, 34150, 91974, 91978, 88140, 48780, 76175, 78772, 8665, 64957, 1214, 58559]",[6365],"[69526.0, 53996.0, 7438.0, 480.0, 99114.0]"
25589,"[356, 1573, 3510, 111]","[296, 1221, 50]","[1704.0, 318.0, 8665.0, 231.0, 480.0]"
25591,"[4993, 53996, 109487, 79132, 318, 58559]","[122882, 3147, 1213]","[480.0, 122882.0, 99114.0, 105504.0, 2329.0]"
25596,"[122882, 356, 34150, 60040, 59369, 65514, 1193, 111, 56145, 6365, 139385, 3578, 79132, 64957, 318]","[6534, 95875, 97304]","[1200.0, 2028.0, 58559.0, 50.0, 5574.0]"
25598,"[4776, 778, 589, 85414]",[50],"[293.0, 50.0, 8638.0, 6.0, 6365.0]"
25600,"[480, 4993, 1221, 296, 3916, 2959, 1201, 30707, 3578]",[1721],"[858.0, 1193.0, 2028.0, 1704.0, 6365.0]"
25603,"[480, 50, 858, 1221]",[904],"[1200.0, 589.0, 356.0, 586.0, 6.0]"
25606,"[1221, 3198, 296, 778, 2571, 912, 1203, 1721, 858, 1214]","[1645, 2959, 6]","[6.0, 6874.0, 1193.0, 50.0, 1213.0]"
25607,"[5952, 4226, 2028, 6863, 1619]","[5989, 1997, 6365, 904]","[5418.0, 65514.0, 58559.0, 4995.0, 480.0]"
25613,"[4226, 68157, 356, 33794, 165, 7438, 527, 1200, 1266, 150, 858, 1213]","[2959, 2571]","[586.0, 6.0, 1089.0, 1704.0, 2011.0]"
25627,"[4226, 420, 113573, 5989, 231, 175303, 119145, 778, 112552, 2028, 1997, 111759, 56145, 8529, 97752, 1721, 68157, 6365]","[6863, 139385, 608]","[4995.0, 1573.0, 1200.0, 318.0, 586.0]"
25634,"[1221, 2409, 2410, 527, 912, 1721, 1370]",[266],"[1252.0, 2571.0, 74851.0, 6.0, 4084.0]"
25644,"[1036, 2959, 79132, 112552, 1961, 109487, 1200, 50, 1203, 318, 1089, 1221, 589, 8665, 608, 356, 231, 2028, 111, 44665]","[1213, 586]","[480.0, 296.0, 3578.0, 1721.0, 5989.0]"
25645,"[608, 296, 589, 111, 1206, 858]",[318],"[1089.0, 6.0, 2571.0, 50.0, 1200.0]"
25652,"[122912, 356, 97188, 85414, 175303, 99114, 115210, 53996, 109487, 112370, 189333, 6874, 194396]","[858, 105653]","[122914.0, 139385.0, 177593.0, 192385.0, 122882.0]"
25665,"[2329, 1193, 589, 111]",[50],"[1954.0, 293.0, 1200.0, 778.0, 858.0]"
25672,"[165, 231, 1193, 2571, 5995, 1036, 1201, 6934, 318, 58559]","[1200, 1704, 5989]","[111.0, 527.0, 296.0, 1200.0, 1214.0]"
25677,"[6534, 128360, 79695, 103249, 7153, 1619, 142488, 69275]","[109487, 1203, 356, 1954]","[65514.0, 93363.0, 1645.0, 111743.0, 1206.0]"
25679,"[608, 50]","[1036, 356, 589]","[1704.0, 58559.0, 1214.0, 1200.0, 4226.0]"
25686,"[608, 1089, 4226, 3362, 356, 2023, 296, 1645, 50, 150, 1721]","[1377, 1213, 1339]","[2571.0, 912.0, 1266.0, 4995.0, 4223.0]"
25690,"[420, 1704, 296, 778, 2411, 2410, 589, 1201, 7153, 6550, 6934, 1721, 858, 1213, 4223]","[6534, 231, 1339]","[1193.0, 2167.0, 3362.0, 1573.0, 1266.0]"
25693,"[608, 5952, 122920, 88140, 122892, 168366, 109487, 1200, 7153, 1203]","[480, 4993]","[122882.0, 134130.0, 115149.0, 122904.0, 103249.0]"
25697,"[5952, 1206]",[1584],"[1704.0, 44665.0, 608.0, 64030.0, 4993.0]"
25698,"[5952, 1089, 4993, 5219, 356, 88140, 115149, 53996, 7153, 56145, 30707, 69526, 97304, 6874, 79132, 6365]","[1704, 318]","[93363.0, 76175.0, 4776.0, 7438.0, 58559.0]"
25704,"[480, 1221, 1961, 1193, 778, 1584, 150, 1214]","[586, 2011, 608]","[293.0, 296.0, 608.0, 318.0, 111.0]"
25706,"[4993, 112552, 1961, 109487, 134130, 1206, 318]","[5952, 171763, 1704]","[122882.0, 356.0, 1089.0, 177593.0, 115149.0]"
25707,"[1089, 356, 1573, 165, 293, 2028, 2167, 1339, 1213, 1214]",[480],"[1704.0, 608.0, 480.0, 2011.0, 1266.0]"
25713,"[2409, 8529, 5989, 34150]",[2011],"[88140.0, 4995.0, 2011.0, 1721.0, 6863.0]"
25714,"[480, 1954, 5219, 356, 4995, 231, 2571, 1645, 589, 1200, 50]","[4993, 6, 4223, 4085]","[1573.0, 1206.0, 2011.0, 33794.0, 4993.0]"
25716,"[2571, 1036, 81932, 69526, 150, 122904, 2329, 4776, 296, 5418, 168366, 1213, 318, 1214, 3147, 589, 8529, 53972, 8665, 92507, 480, 5989, 5995, 139644]","[7387, 104913, 96432, 109487]","[527.0, 111.0, 85414.0, 2028.0, 4995.0]"
25728,"[4993, 4226, 33794, 3362, 1954, 5254, 2409, 1961, 3916, 589, 1997, 527, 48780, 50, 4084, 4022, 2167]","[80846, 1645]","[5952.0, 2571.0, 6365.0, 5219.0, 608.0]"
25735,"[3147, 48780, 111, 50, 1206, 6365]","[3178, 589, 2571, 8665]","[4993.0, 2011.0, 6754.0, 6979.0, 5418.0]"
25746,"[858, 1645, 1214, 1213]","[480, 4084, 1221]","[1704.0, 608.0, 1573.0, 1200.0, 5995.0]"
25753,"[480, 1252, 1573, 2023, 2571, 1036, 527, 1266]",[589],"[912.0, 1377.0, 904.0, 165.0, 1200.0]"
25756,"[4993, 5219, 114180, 2028, 6863, 103249, 5810, 122904, 79132, 68157]","[58559, 5574, 2571]","[4995.0, 134130.0, 58559.0, 111759.0, 48780.0]"
25769,"[608, 480, 4995, 1221, 4262, 4776, 778, 1997, 7438, 1201, 7153, 150, 6874]","[109487, 1213, 1961]","[5995.0, 6365.0, 318.0, 296.0, 6.0]"
25771,"[5952, 608, 356, 293, 296, 1200, 6874, 858]","[4993, 778, 2028]","[1036.0, 231.0, 589.0, 1721.0, 318.0]"
25775,"[4226, 420, 165, 6874, 5989, 59369, 122892, 2028, 162350, 76175, 6863, 86644, 53972, 44665, 1370, 64957, 4223]","[5956, 1200, 122920, 8665, 1704, 1036, 3916]","[6.0, 4995.0, 105504.0, 30707.0, 480.0]"
25778,"[589, 111, 165, 527]",[1214],"[293.0, 1201.0, 1089.0, 778.0, 1704.0]"
25781,"[5952, 4993, 6534, 97752, 296, 122920, 778, 130634, 88140, 7438, 111759, 103249, 122900, 78772, 69526, 110102, 53464, 6365]","[1961, 114713, 114180, 356]","[6874.0, 122892.0, 34150.0, 99114.0, 115149.0]"
25784,"[480, 3362, 4995, 1954, 5254, 231, 296, 6534, 586, 3178, 2028, 589, 50, 1690, 2011]","[912, 1201, 266]","[608.0, 1704.0, 778.0, 3198.0, 1266.0]"
25788,"[266, 2028, 1997, 1266, 3578]",[1036],"[1584.0, 296.0, 293.0, 2023.0, 3178.0]"
25791,"[85414, 1961, 5418, 1645, 527, 111, 134130, 97304, 1690, 6365]","[1584, 109487, 79132]","[1721.0, 3147.0, 1036.0, 4993.0, 293.0]"
25801,"[1089, 1954, 420, 4262, 231, 1704, 2409, 778, 2571, 3916, 2410, 296, 7153, 4085, 8665]","[30707, 50]","[608.0, 480.0, 6365.0, 1377.0, 6.0]"
25808,"[4993, 33794, 6979, 5989, 2571, 1227, 527, 7153, 30707, 1203, 150, 2329, 3578, 1213, 318]","[6874, 3198, 4226, 1200, 1214]","[1721.0, 4995.0, 1961.0, 3147.0, 1036.0]"
25809,"[356, 1221, 6, 586, 527, 4085, 1690]","[3362, 296]","[1573.0, 553.0, 111.0, 1370.0, 231.0]"
25822,"[356, 231, 5418, 7438, 2959, 30707]","[2028, 48780, 1221, 1961]","[4022.0, 1704.0, 778.0, 4995.0, 1721.0]"
25826,"[420, 99114, 589, 111, 1201, 7153, 104913, 3510, 97304, 79132, 58559]","[5989, 4022, 2167, 5952, 1584, 8665]","[5952.0, 3578.0, 7438.0, 4776.0, 1200.0]"
25840,"[1704, 1961, 2409, 2571, 2028, 1193, 912, 50, 1203]",[318],"[904.0, 4226.0, 858.0, 608.0, 6863.0]"
25847,"[33794, 904, 1036, 912, 122900, 97304, 1690, 162598, 4262, 1193, 553, 1201, 3510, 57528, 5952, 170827, 1997, 115149, 103249, 8665, 356, 231, 119145, 2409, 5995, 1645, 7153, 4085, 3198]","[4022, 109487, 169864, 114180]","[1206.0, 608.0, 1704.0, 111364.0, 4993.0]"
25854,"[5952, 4993, 165, 1573, 1221, 296, 553, 266, 912, 2329, 858, 1213, 3198]",[904],"[356.0, 1961.0, 480.0, 4995.0, 5219.0]"
25857,"[480, 4993, 318, 74851, 8861, 589, 44665, 53972, 6550, 64983, 2329, 7387, 68157, 64030, 58559]","[5952, 33794, 56145, 356, 7153]","[93363.0, 65682.0, 165.0, 6.0, 79132.0]"
25859,"[1377, 6874, 296, 3147, 150, 2167, 1206, 1721, 3578, 858]",[1089],"[1089.0, 1704.0, 608.0, 318.0, 778.0]"
25866,"[4226, 356, 553, 3916, 150, 1370, 1339]","[3578, 586, 4995]","[4085.0, 912.0, 231.0, 318.0, 3510.0]"
25873,"[1573, 318]",[1266],"[6874.0, 356.0, 296.0, 586.0, 858.0]"
25880,"[5952, 1339, 4995, 5254]",[1573],"[1704.0, 1206.0, 5995.0, 4993.0, 1645.0]"
25886,"[1252, 1573, 1200, 912, 150, 1339]",[420],"[1193.0, 1704.0, 608.0, 3362.0, 1206.0]"
25890,"[480, 589, 111, 134130, 4085, 1721, 1370]","[1089, 527]","[1704.0, 165.0, 1036.0, 4995.0, 68157.0]"
25902,"[608, 4226, 1704, 1036, 1584]","[5989, 1721]","[50.0, 1203.0, 778.0, 3916.0, 1193.0]"
25910,"[162082, 33794, 1954, 6979, 231, 296, 4776, 81932, 88140, 1214, 58559]","[2409, 3578]","[50.0, 85414.0, 5418.0, 608.0, 1997.0]"
25924,"[5952, 6754, 6979, 293, 5989, 296, 2028, 1200, 44665, 1721, 8861]","[4995, 7438, 1213]","[778.0, 2011.0, 3578.0, 5956.0, 2959.0]"
25925,"[6534, 5254, 2329, 778, 2571, 1036, 115149, 48780, 122904, 8985, 858, 2011, 1214]","[122890, 4223, 113573, 1690, 65682, 5219, 5810]","[4993.0, 1206.0, 34150.0, 76175.0, 608.0]"
25933,"[122914, 122882, 1573, 112552, 115149, 6863, 177593, 1690, 139644, 1213]","[185029, 142488]","[1954.0, 589.0, 586.0, 1200.0, 1193.0]"
25938,"[4993, 2028, 589]",[6],"[165.0, 858.0, 1704.0, 480.0, 608.0]"
25943,"[480, 4226, 6534, 586, 42738, 1721, 6934, 150, 1206, 8665, 2011, 1214, 318]",[2028],"[4993.0, 1704.0, 5418.0, 58559.0, 111.0]"
25945,"[74851, 1704, 119145, 1961, 114795, 122892, 3178, 7438, 79695, 8529, 134130, 160980, 122904, 177593, 204698]","[105355, 2959, 1193, 6874]","[112370.0, 89904.0, 165.0, 6874.0, 116797.0]"
25958,"[1089, 296, 2571, 5810, 2329, 1213]",[4993],"[1203.0, 50.0, 1704.0, 608.0, 6874.0]"
25970,"[122912, 183011, 114180, 293, 3147, 115149, 111759, 109487, 103249, 3578, 171763, 1203, 50, 64983, 168248, 858, 2011, 318]","[4995, 54771, 60040, 122904, 74851]","[122882.0, 4226.0, 177593.0, 139385.0, 5574.0]"
25973,"[5952, 5956, 1573, 293, 296, 1961, 3147, 111, 5810, 1619, 6934, 1721]","[6874, 480, 1201, 53972, 2571, 4262]","[1213.0, 4776.0, 266.0, 3578.0, 904.0]"
25974,"[480, 231, 296, 266, 2571, 150, 1721]","[2028, 586, 912, 608]","[1214.0, 7153.0, 318.0, 4995.0, 1961.0]"
25980,"[5952, 3362, 1252, 5989, 2023, 1036, 1997, 7153, 6874, 1214]","[293, 3578, 4226, 115210, 1704]","[608.0, 4993.0, 1206.0, 2571.0, 912.0]"
25982,"[1377, 4262, 2028, 1200, 1721]","[778, 4226]","[589.0, 1573.0, 3578.0, 420.0, 165.0]"
25983,"[1089, 3362, 5989, 296, 778, 2028, 7387, 111, 527, 7153, 4084, 2329, 6874, 2011, 6365, 318]",[1645],"[6.0, 1997.0, 293.0, 1954.0, 1200.0]"
25986,"[608, 1961]",[356],"[1266.0, 3916.0, 1954.0, 4022.0, 2571.0]"
25992,"[480, 5952, 6754, 1089, 6, 553, 586, 2571, 2959, 1584, 7153, 1200, 150]",[589],"[6365.0, 608.0, 912.0, 5995.0, 4993.0]"
25993,"[608, 122882, 5956, 165, 293, 5989, 2571, 53996, 81932, 589, 3916, 3510]","[4084, 68157]","[5952.0, 2028.0, 904.0, 1961.0, 162606.0]"
26004,"[5952, 356, 5989, 65514, 589, 150, 79132]","[5418, 293]","[778.0, 68157.0, 4995.0, 5418.0, 58559.0]"
26006,"[4993, 33794, 231, 1704, 1193, 1036, 2329, 858, 6365, 318]","[5952, 6, 2959, 2571, 4995]","[6874.0, 1997.0, 778.0, 2959.0, 293.0]"
26016,"[105504, 4226, 1252, 165, 2023, 231, 5418, 266, 122892, 3916, 48780, 134130, 3578, 1203, 6874, 858]","[1377, 5574, 1954, 1193, 111781, 130634, 2028, 2959]","[912.0, 2959.0, 4223.0, 1213.0, 1193.0]"
26024,"[139385, 162082, 1089, 119145, 59369, 99114, 586, 2028, 76175, 56145, 1203, 122900, 4085, 69526, 57528, 1721, 3578]","[4993, 8985, 1370]","[50.0, 4776.0, 7438.0, 608.0, 102686.0]"
26026,"[4995, 1252, 2023, 4776, 586, 2571, 1997, 7438, 6863, 1370, 8529, 3578, 6874, 1213, 1214]",[4226],"[1193.0, 1573.0, 150.0, 2410.0, 1203.0]"
26031,"[122904, 1193, 1214, 111]","[1997, 97752, 904, 1721]","[608.0, 50.0, 2571.0, 1201.0, 7438.0]"
26033,"[480, 5952, 4226, 33794, 4993, 296, 1193, 1961, 527, 42738, 150, 1721, 7387]","[6550, 2959, 2028, 1206, 4262]","[4995.0, 6365.0, 1214.0, 1584.0, 231.0]"
26042,"[4226, 356, 34150, 85414, 5418, 1036, 48780, 91630, 527, 104913, 103249, 53972, 6934, 64957]","[116797, 110102, 296, 1721]","[7438.0, 111781.0, 116797.0, 79132.0, 4995.0]"
26046,"[608, 420, 231, 1961, 3147, 527, 7153, 1213]","[4993, 4995]","[1704.0, 778.0, 4022.0, 293.0, 1377.0]"
26051,"[5952, 4226, 5219, 5989, 1961, 2167, 1690]","[6874, 420]","[5956.0, 4995.0, 3578.0, 6863.0, 1266.0]"
26054,"[420, 356, 1573, 34150, 6534, 5418, 586, 3916, 44665, 78772, 3510, 8665, 64030]",[5989],"[1339.0, 231.0, 53464.0, 6.0, 1266.0]"
26066,"[122882, 48780, 1201, 1721, 90522, 79132, 1214]",[112552],"[480.0, 2571.0, 7438.0, 904.0, 122892.0]"
26067,"[608, 1954, 4995, 165, 5989, 5574, 5995, 7438, 111, 1200, 1201, 1266, 527, 6863, 858, 106491, 1214, 102686]",[7153],"[1193.0, 4226.0, 4085.0, 480.0, 150.0]"
26069,"[296, 2329, 4022, 318]","[3916, 3178]","[480.0, 6.0, 4262.0, 4995.0, 5989.0]"
26075,"[1221, 296, 1200, 1266, 50, 4022, 2167, 1370, 1213]",[4085],"[1704.0, 111.0, 1036.0, 778.0, 589.0]"
26078,"[1193, 111, 231]","[2571, 1252]","[608.0, 1997.0, 1252.0, 912.0, 318.0]"
26083,"[480, 1252, 1193, 1036, 589, 912, 1200, 858, 116797]","[1206, 3147, 105504, 4995]","[1213.0, 160980.0, 1704.0, 1721.0, 1573.0]"
26087,"[4226, 1954, 5956, 1252, 5418, 589, 4085, 6934, 3578, 2011, 8638]","[1573, 912]","[1193.0, 111.0, 527.0, 6863.0, 8665.0]"
26093,"[608, 4226, 4995, 33794, 5989, 2023, 1193, 778, 3916, 1645, 1584, 4022, 1213, 318]","[3198, 1089, 5995, 527, 1206]","[1704.0, 296.0, 912.0, 1266.0, 50.0]"
26097,"[4226, 122882, 105355, 97304, 2329, 90522, 102686, 1704, 1201, 50, 1203, 68157, 1214, 80846, 858, 608, 128360, 1266, 30707, 139385, 3578]","[65514, 79132, 293, 904, 109487]","[109487.0, 99114.0, 1997.0, 157699.0, 105504.0]"
26103,"[1200, 6550, 589, 1214]",[6874],"[1370.0, 2167.0, 2028.0, 3362.0, 84601.0]"
26110,"[1954, 1221, 6534, 293, 4776, 165, 231, 2023, 3147, 2959, 4085, 3510, 8665, 79132, 58559]",[5810],"[2329.0, 4993.0, 69526.0, 2028.0, 2571.0]"
26111,"[586, 150]",[6863],"[231.0, 111.0, 1036.0, 1370.0, 1200.0]"
26117,"[480, 1954, 60040, 586, 1997, 527, 1201, 57528, 318]","[1961, 3147, 2023, 231]","[6.0, 2011.0, 858.0, 1266.0, 6874.0]"
26135,"[296, 3916, 5989, 150]",[356],"[480.0, 231.0, 4995.0, 7153.0, 2028.0]"
26137,"[4226, 122882, 5995, 111, 103249, 134130, 104913, 1721, 1213]","[1193, 115210, 6863, 116797, 85414, 589]","[109487.0, 527.0, 50.0, 1203.0, 296.0]"
26143,"[356, 1573, 1584, 1339, 318]",[1377],"[1089.0, 1266.0, 4776.0, 1206.0, 5989.0]"
26146,"[111, 1200, 8529, 1266, 30707, 1206]",[65514],"[1193.0, 1214.0, 586.0, 420.0, 608.0]"
26154,"[480, 3362, 1227, 111, 527, 1201, 1206, 2167, 2329, 1370]","[2409, 904]","[1036.0, 2571.0, 904.0, 1721.0, 778.0]"
26170,"[4993, 6, 296, 1961, 59369, 2571, 2028, 1036, 5418, 1200, 4085, 44665]","[1213, 1573]","[53972.0, 293.0, 589.0, 8665.0, 6979.0]"
26176,"[33794, 356, 1221, 231, 4776, 1193, 296, 7153, 8638]","[5418, 4995]","[293.0, 6874.0, 608.0, 1704.0, 6365.0]"
26180,"[608, 1089, 527, 1266, 1214]","[858, 150, 1227, 1036]","[111.0, 1201.0, 6.0, 778.0, 50.0]"
26186,"[1252, 112552, 1193, 778, 5995, 81932, 1645, 2959, 1584, 7153, 50, 1201, 1213, 8638]","[134130, 6365, 116797, 589]","[1704.0, 608.0, 111.0, 296.0, 4022.0]"
26191,"[4993, 139385, 33794, 293, 296, 112552, 119145, 3147, 111759, 103249, 65682, 79132, 4022, 168248, 8665, 200540, 116797]","[1201, 5952, 171763, 8529]","[109487.0, 134130.0, 122882.0, 122892.0, 114180.0]"
26197,"[1201, 1370, 1645, 150]","[4226, 1206]","[1704.0, 1193.0, 1573.0, 4995.0, 480.0]"
26201,"[4993, 1089, 293, 7153, 7387, 79132]","[68157, 2571, 1214]","[165.0, 608.0, 2571.0, 6.0, 296.0]"
26203,"[1954, 1252, 1193, 7438, 527, 6863, 150, 3578, 2011]","[4993, 111, 1227]","[111.0, 5989.0, 2409.0, 1089.0, 4226.0]"
26206,"[5952, 6979, 420, 165, 553, 53996, 4084, 6548, 2167, 8665, 1214]","[858, 296]","[4776.0, 4223.0, 231.0, 4085.0, 1370.0]"
26218,"[60040, 2028, 589, 1200, 3578]","[1213, 79132, 1266, 480]","[858.0, 93363.0, 293.0, 2167.0, 1036.0]"
26223,"[608, 4226, 1221, 6, 293, 4776, 1193, 904, 1227, 1704, 589, 778, 553, 3578]","[1961, 1206, 1584]","[1213.0, 111.0, 1201.0, 3362.0, 527.0]"
26229,"[480, 1089, 5952, 4995, 1221, 48780, 527, 1201, 7153, 79132]","[2571, 4022, 1721]","[5995.0, 4993.0, 7438.0, 2571.0, 58559.0]"
26236,"[4993, 1221, 1961, 2959, 50, 1266]",[553],"[778.0, 4226.0, 608.0, 2571.0, 1213.0]"
26247,"[33794, 356, 420, 165, 5418, 3147, 589, 527, 6863, 7153, 4085, 1721, 1690, 858]",[50],"[1954.0, 6.0, 2011.0, 586.0, 1573.0]"
26248,"[904, 2571, 589, 912, 1206, 8665, 858, 79132, 1214]","[5418, 1089]","[2959.0, 6874.0, 116797.0, 1036.0, 1721.0]"
26250,"[1573, 1036, 589, 8529, 50]","[5952, 5989, 3578]","[4995.0, 1214.0, 1721.0, 79132.0, 778.0]"
